airline_sentiment,airline_sentiment_confidence,negativereason,airline,name,text,tweet_created,tweet_location,user_timezone
neutral,0.6837,,Virgin America,yvonnalynn,@VirginAmerica I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48-08:00,Lets Play,Central Time (US & Canada)
positive,0.6745,,Virgin America,cjmcginnis,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57-08:00,San Francisco CA,Pacific Time (US & Canada)
neutral,0.634,,Virgin America,pilot,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2015-02-24 11:12:29-08:00,Los Angeles,Pacific Time (US & Canada)
positive,0.6559,,Virgin America,dhepburn,"@virginamerica Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19-08:00,San Diego,Pacific Time (US & Canada)
positive,1.0,,Virgin America,YupitsTate,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27-08:00,Los Angeles,Eastern Time (US & Canada)
neutral,0.6769,,Virgin America,idk_but_youtube,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24 10:48:24-08:00,1/1 loner squad,Eastern Time (US & Canada)
positive,1.0,,Virgin America,HyperCamiLax,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,2015-02-24 10:30:40-08:00,NYC,America/New_York
positive,1.0,,Virgin America,HyperCamiLax,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,2015-02-24 10:30:06-08:00,NYC,America/New_York
positive,1.0,,Virgin America,sjespers,@VirginAmerica Thanks!,2015-02-24 10:15:29-08:00,"San Francisco, CA",Pacific Time (US & Canada)
negative,0.6842,Late Flight,Virgin America,smartwatermelon,@VirginAmerica SFO-PDX schedule is still MIA.,2015-02-24 10:01:50-08:00,"palo alto, ca",Pacific Time (US & Canada)
positive,1.0,,Virgin America,ItzBrianHunty,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2015-02-24 09:42:59-08:00,west covina,Pacific Time (US & Canada)
negative,1.0,Bad Flight,Virgin America,heatherovieda,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2015-02-24 09:39:46-08:00,this place called NYC,Eastern Time (US & Canada)
positive,1.0,,Virgin America,thebrandiray,I ❤️ flying @VirginAmerica. ☺️👍,2015-02-24 09:15:00-08:00,Somewhere celebrating life. ,Atlantic Time (Canada)
positive,1.0,,Virgin America,JNLpierce,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2015-02-24 09:04:10-08:00,Boston | Waltham,Quito
positive,1.0,,Virgin America,ElvinaBeck,@VirginAmerica I love the hipster innovation. You are a feel good brand.,2015-02-24 08:30:15-08:00,Los Angeles,Pacific Time (US & Canada)
neutral,1.0,,Virgin America,rjlynch21086,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,2015-02-24 08:27:52-08:00,"Boston, MA ",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,ayeevickiee,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,2015-02-24 08:18:51-08:00,714,Mountain Time (US & Canada)
neutral,0.6854,,Virgin America,AdamSinger,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,2015-02-24 05:44:59-08:00,"San Francisco, CA",Central Time (US & Canada)
neutral,0.615,,Virgin America,TenantsUpstairs,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2015-02-23 23:34:30-08:00,Brooklyn,Atlantic Time (Canada)
neutral,1.0,,Virgin America,JCervantezzz,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,2015-02-23 21:35:43-08:00,"California, San Francisco",Pacific Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,Cuschoolie1,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2015-02-23 21:10:41-08:00,Washington DC,Quito
positive,1.0,,Virgin America,NorthTxHomeTeam,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,2015-02-23 20:24:33-08:00,Texas,Central Time (US & Canada)
neutral,0.6207,,Virgin America,miaerolinea,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,2015-02-23 18:46:00-08:00,Worldwide,Caracas
neutral,0.6791,,Virgin America,elisha_malulani,@VirginAmerica when can I book my flight to Hawaii??,2015-02-23 17:54:09-08:00,i'm creating a monster ,Pacific Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,DannyDouglass,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,2015-02-23 17:41:58-08:00,"San Francisco, CA",Pacific Time (US & Canada)
negative,0.6688,Flight Booking Problems,Virgin America,will_lenzenjr,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",2015-02-23 17:00:40-08:00,Iowa City,Central Time (US & Canada)
neutral,0.6578,,Virgin America,KGervaise,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,2015-02-23 16:20:38-08:00,Georgia,Pacific Time (US & Canada)
positive,1.0,,Virgin America,ChelseaPoe666,@VirginAmerica wow this just blew my mind,2015-02-23 16:01:25-08:00,Oakland via Midwest ,Atlantic Time (Canada)
neutral,1.0,,Virgin America,BobGlavinVO,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,2015-02-23 16:01:17-08:00,"New York, NY",Eastern Time (US & Canada)
neutral,0.6764,,Virgin America,grantbrowne,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2015-02-23 15:55:18-08:00,Worldwide,Central Time (US & Canada)
positive,0.657,,Virgin America,joyabsalon,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,2015-02-23 15:46:46-08:00,Northern Virginia,Eastern Time (US & Canada)
neutral,1.0,,Virgin America,2v,@VirginAmerica wish you flew out of Atlanta... Soon?,2015-02-23 15:36:51-08:00,Los Angeles / Atlanta,Eastern Time (US & Canada)
negative,0.6939,Flight Booking Problems,Virgin America,murphicus,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,2015-02-23 15:05:09-08:00,"new york, new york",Eastern Time (US & Canada)
positive,1.0,,Virgin America,VinnieFerra,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,2015-02-23 15:04:29-08:00,"brooklyn, Ny",Pacific Time (US & Canada)
positive,0.635,,Virgin America,KevinDemsi,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,2015-02-23 14:40:33-08:00,"Bali, Republic of Indonesia",Kuala Lumpur
neutral,1.0,,Virgin America,HanlonBrothers,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,2015-02-23 14:37:42-08:00,"Gold Coast, Australia",Brisbane
neutral,1.0,,Virgin America,emilybg78,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,2015-02-23 14:36:58-08:00,"Stockton, CA",Arizona
negative,1.0,Customer Service Issue,Virgin America,rachie1126,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,2015-02-23 14:35:50-08:00,"New York, NY",Eastern Time (US & Canada)
neutral,1.0,,Virgin America,SocialPLC,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",2015-02-23 14:26:53-08:00,"Twin Cities, Minn.",Eastern Time (US & Canada)
neutral,0.6814,,Virgin America,1stcrown,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,2015-02-23 14:09:06-08:00,USA,Central Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,onerockgypsy,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,2015-02-23 13:46:30-08:00,next city,Pacific Time (US & Canada)
negative,1.0,Late Flight,Virgin America,noelduan,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2015-02-23 13:35:23-08:00,SF ↔ NY,Eastern Time (US & Canada)
positive,0.6922,,Virgin America,Travelzoo,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,2015-02-23 13:30:10-08:00,"New York, NY",Pacific Time (US & Canada)
negative,1.0,Lost Luggage,Virgin America,gianagon,@VirginAmerica everything was fine until you lost my bag,2015-02-23 13:08:21-08:00,New York + Panama,Eastern Time (US & Canada)
neutral,1.0,,Virgin America,bxchen,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2015-02-23 12:47:52-08:00,"San Francisco, CA",Eastern Time (US & Canada)
neutral,1.0,,Virgin America,jamied7,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",2015-02-23 11:56:37-08:00,"London, England",London
positive,1.0,,Virgin America,mrmichaellay,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",2015-02-23 11:32:31-08:00,Floridian from Cincinnati ,Eastern Time (US & Canada)
positive,1.0,,Virgin America,TaylorLumsden,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,2015-02-23 11:28:46-08:00,"Dallas, Texas",Mountain Time (US & Canada)
neutral,1.0,,Virgin America,campusmoviefest,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",2015-02-23 11:24:18-08:00,USA,Eastern Time (US & Canada)
neutral,1.0,,Virgin America,TaylorLumsden,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,2015-02-23 11:22:16-08:00,"Dallas, Texas",Mountain Time (US & Canada)
positive,1.0,,Virgin America,artisticwritr87,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,2015-02-23 10:56:16-08:00,"Seattle, WA",Pacific Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,jsatk,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,2015-02-23 10:29:19-08:00,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
neutral,0.6705,,Virgin America,serenaklal,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,2015-02-23 10:15:00-08:00,Chicago,Eastern Time (US & Canada)
neutral,0.6545,,Virgin America,cabowine,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,2015-02-23 10:04:47-08:00,"Los Cabos,Mexico",Arizona
negative,1.0,Can't Tell,Virgin America,MaryAnnTaylorT,@VirginAmerica Why is the site down?  When will it be back up?,2015-02-23 09:57:42-08:00,"New York, NY",Arizona
negative,1.0,Customer Service Issue,Virgin America,MerchEngines,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",2015-02-23 09:25:41-08:00,"Los Angeles, CA",Arizona
negative,1.0,Customer Service Issue,Virgin America,ColorCartel,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,2015-02-23 09:18:42-08:00,"Austin, TX",Mountain Time (US & Canada)
negative,1.0,Flight Booking Problems,Virgin America,mattbunk,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,2015-02-23 08:29:21-08:00,"Sterling Heights, MI",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,Virgin America,louisjenny,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,2015-02-23 08:19:59-08:00,Washington DC,Quito
negative,0.6925,Late Flight,Virgin America,mrmichaellay,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,2015-02-23 08:08:01-08:00,Floridian from Cincinnati ,Eastern Time (US & Canada)
positive,1.0,,Virgin America,TheDuchessSF,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",2015-02-23 07:50:35-08:00,Online,Pacific Time (US & Canada)
